lat,lon,country,county,local_administrative_area,locality,postcode,state,state_code,village,timestamp_apicall
47.3545211,7.7655252,Switzerland,Bezirk Waldenburg,Langenbruck,N/A,4438,Basel-Landschaft,BL,Langenbruck,2024-09-24 23:02:11
47.3567646,7.7589523,Switzerland,Bezirk Waldenburg,Langenbruck,N/A,4438,Basel-Landschaft,BL,Langenbruck,2024-09-24 23:02:11
47.369817,7.7516528,Switzerland,Bezirk Waldenburg,Waldenburg,N/A,4437,Basel-Landschaft,BL,Waldenburg,2024-09-24 23:02:11
47.000845,6.7975322,Switzerland,N/A,Rochefort,N/A,2019,Neuchâtel,NE,Rochefort,2024-09-24 23:02:11
47.017624,6.8109911,Switzerland,N/A,Val-de-Ruz,N/A,2019,Neuchâtel,NE,N/A,2024-09-24 23:02:11
47.0265658,6.8212958,Switzerland,N/A,Val-de-Ruz,N/A,2206,Neuchâtel,NE,Les Geneveys-sur-Coffrane,2024-09-24 23:02:11
47.0374001,6.8331348,Switzerland,N/A,Val-de-Ruz,N/A,2314,Neuchâtel,NE,N/A,2024-09-24 23:02:11
47.0487439,6.8467639,Switzerland,N/A,Val-de-Ruz,N/A,2208,Neuchâtel,NE,N/A,2024-09-24 23:02:11
47.0548538,6.8549186,Switzerland,N/A,Val-de-Ruz,N/A,2208,Neuchâtel,NE,N/A,2024-09-24 23:02:11
47.0640287,6.8632931,Switzerland,N/A,Val-de-Ruz,N/A,2208,Neuchâtel,NE,N/A,2024-09-24 23:02:11
47.0592572,6.870724,Switzerland,N/A,Val-de-Ruz,N/A,2052,Neuchâtel,NE,N/A,2024-09-24 23:02:11
47.0674127,8.2184641,Switzerland,N/A,Lucerne,N/A,6016,Lucerne,LU,N/A,2024-09-24 23:02:11
47.0710115,8.2077621,Switzerland,N/A,Lucerne,N/A,6016,Lucerne,LU,N/A,2024-09-24 23:02:11
47.0728553,8.2115095,Switzerland,N/A,Lucerne,N/A,6016,Lucerne,LU,N/A,2024-09-24 23:02:11
47.0706224,8.1985631,Switzerland,N/A,Neuenkirch,N/A,6016,Lucerne,LU,Hellbühl,2024-09-24 23:02:11
47.0694164,8.2220825,Switzerland,N/A,Lucerne,N/A,6016,Lucerne,LU,N/A,2024-09-24 23:02:11
47.0662254,8.2255817,Switzerland,N/A,Lucerne,N/A,6014,Lucerne,LU,N/A,2024-09-24 23:02:11
47.0600906,8.2084058,Switzerland,N/A,Malters,N/A,6102,Lucerne,LU,Malters,2024-09-24 23:02:11
47.0573093,8.2275911,Switzerland,N/A,Malters,N/A,6102,Lucerne,LU,Malters,2024-09-24 23:02:11
47.0725778,8.2264717,Switzerland,N/A,Lucerne,N/A,6016,Lucerne,LU,N/A,2024-09-24 23:02:11
47.0768969,8.2242565,Switzerland,N/A,Lucerne,N/A,6016,Lucerne,LU,N/A,2024-09-24 23:02:11
47.3044062,8.8478419,Switzerland,Bezirk Hinwil,Hinwil,N/A,8340,Zurich,ZH,Ringwil,2024-09-24 23:02:11
47.0112425,8.5674115,Switzerland,Schwyz,Lauerz,N/A,6424,Schwyz,SZ,Lauerz,2024-09-24 23:02:11
46.8084915,8.4287571,Switzerland,N/A,Engelberg,N/A,6391,Obwalden,OW,Engelberg,2024-09-24 23:02:11
46.8078592,8.4333772,Switzerland,N/A,Engelberg,N/A,6391,Obwalden,OW,Engelberg,2024-09-24 23:02:11
46.802739,8.4495195,Switzerland,N/A,Engelberg,N/A,6391,Obwalden,OW,Engelberg,2024-09-24 23:02:11
46.8090195,8.449072,Switzerland,N/A,Engelberg,N/A,6391,Obwalden,OW,Engelberg,2024-09-24 23:02:11
46.7975812,8.4661666,Switzerland,N/A,Engelberg,N/A,6391,Obwalden,OW,Engelberg,2024-09-24 23:02:11
46.7976513,8.4884875,Switzerland,N/A,Attinghausen,N/A,6468,Uri,UR,Attinghausen,2024-09-24 23:02:11
46.8073903,8.4987666,Switzerland,N/A,Attinghausen,N/A,6468,Uri,UR,Attinghausen,2024-09-24 23:02:11
46.8200857,8.5091798,Switzerland,N/A,Attinghausen,Butzen,6468,Uri,UR,Attinghausen,2024-09-24 23:02:11
46.8311462,8.530723,Switzerland,N/A,Attinghausen,N/A,6468,Uri,UR,Attinghausen,2024-09-24 23:02:11
46.8387007,8.5817857,Switzerland,N/A,Attinghausen,Kulm,6468,Uri,UR,Attinghausen,2024-09-24 23:02:11
46.840937,8.557679,Switzerland,N/A,Isenthal,N/A,6461,Uri,UR,Isenthal,2024-09-24 23:02:11
46.8441639,8.5760813,Switzerland,N/A,Attinghausen,Eyfrutt,6468,Uri,UR,Attinghausen,2024-09-24 23:02:11
46.845412,8.5944996,Switzerland,N/A,Seedorf (UR),N/A,6462,Uri,UR,Seedorf (UR),2024-09-24 23:02:11
46.8434325,8.5991908,Switzerland,N/A,Erstfeld,N/A,6472,Uri,UR,Erstfeld,2024-09-24 23:02:11
46.8420383,8.6069284,Switzerland,N/A,Erstfeld,N/A,6472,Uri,UR,Erstfeld,2024-09-24 23:02:11
47.2634571,8.8113496,Switzerland,Bezirk Hinwil,Bubikon,N/A,8608,Zurich,ZH,Wolfhausen,2024-09-24 23:02:11
47.2473322,8.819107,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8645,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2454945,8.8131129,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8633,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2558402,8.8368723,Switzerland,Bezirk Hinwil,Rüti (ZH),N/A,8632,Zurich,ZH,N/A,2024-09-24 23:02:11
47.2481259,8.8120372,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8633,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2428529,8.8182308,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8645,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2420391,8.8124552,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8645,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2397486,8.8174886,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8645,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2381302,8.815763,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2318108,8.818105,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2327052,8.8213298,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2318265,8.8207999,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.230459,8.8215011,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2295259,8.8204753,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2288785,8.82153,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2268787,8.8174746,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2268787,8.8158322,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2249908,8.8162452,Switzerland,Wahlkreis See-Gaster,Rapperswil-Jona,N/A,8640,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2540639,8.7717979,Switzerland,Bezirk Meilen,Hombrechtikon,N/A,8634,Zurich,ZH,Hombrechtikon,2024-09-24 23:02:11
47.2599709,8.7868148,Switzerland,Bezirk Hinwil,Bubikon,N/A,8633,Zurich,ZH,Wolfhausen,2024-09-24 23:02:11
47.2692331,8.8008541,Switzerland,Bezirk Hinwil,Bubikon,N/A,8633,Zurich,ZH,Bubikon,2024-09-24 23:02:11
47.2614382,8.7977432,Switzerland,Bezirk Hinwil,Bubikon,N/A,8633,Zurich,ZH,Wolfhausen,2024-09-24 23:02:11
46.6717412,6.4135073,Switzerland,District du Jura-Nord vaudois,La Praz,N/A,1148,Vaud,VD,La Praz,2024-09-24 23:02:11
47.0350818,9.0060363,Switzerland,N/A,Glarus,N/A,8750,Glarus,GL,N/A,2024-09-24 23:02:11
47.0250262,9.0305856,Switzerland,N/A,Glarus,Ahoren,8750,Glarus,GL,N/A,2024-09-24 23:02:11
