lat,lon,country,county,local_administrative_area,locality,postcode,state,state_code,village
47.4932821,8.1385266,Switzerland,Bezirk Brugg,Bözberg,N/A,5225,Aargau,AG,Oberbözberg
47.5057842,8.0688607,Switzerland,Bezirk Laufenburg,Böztal,N/A,5075,Aargau,AG,Hornussen
46.0574811,7.1435570,Switzerland,Entremont,Sembrancher,N/A,1933,Wallis,VS,Chamoille (Sembrancher)
47.1722757,8.8386881,Switzerland,March,Altendorf,N/A,8852,Schwyz,SZ,Altendorf
47.1681485,8.8542633,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1725968,8.8573788,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1794756,8.8566552,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1859247,8.8520276,Switzerland,March,Lachen,N/A,8853,Schwyz,SZ,Lachen
47.1812373,8.8650707,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1772760,8.8772985,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1791858,8.8822266,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1799506,8.8949830,Switzerland,March,Wangen (SZ),N/A,8854,Schwyz,SZ,Wangen (SZ)
47.1781898,8.8764978,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1727482,8.8973311,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1694077,8.8936000,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1665926,8.8864213,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1656797,8.8756253,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1685538,8.8609731,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1733285,8.9130604,Switzerland,March,Schübelbach,N/A,8862,Schwyz,SZ,Siebnen
47.1795366,8.8658837,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.4068418,8.6630304,Switzerland,Bezirk Uster,Wangen-Brüttisellen,N/A,8604,Zurich,ZH,Wangen-Brüttisellen
47.4165965,8.6609774,Switzerland,Bezirk Uster,Wangen-Brüttisellen,N/A,8317,Zurich,ZH,Wangen-Brüttisellen
47.0262226,7.7127826,Switzerland,Emmental administrative district,Lützelflüh,N/A,3452,Bern,BE,Lützelflüh
47.3762321,8.0320288,Switzerland,Bezirk Aarau,Aarau,N/A,5000,Aargau,AG,N/A
47.3644273,8.0232559,Switzerland,Bezirk Aarau,Oberentfelden,N/A,5035,Aargau,AG,Oberentfelden
47.3798408,8.0359982,Switzerland,Bezirk Aarau,Aarau,N/A,5000,Aargau,AG,N/A
47.4675092,8.7018519,Switzerland,Bezirk Winterthur,Winterthur,N/A,8312,Zurich,ZH,N/A
47.1747467,8.6909020,Switzerland,Höfe,Wollerau,N/A,8832,Schwyz,SZ,Wollerau
47.1747114,8.6863510,Switzerland,Höfe,Wollerau,N/A,8832,Schwyz,SZ,Wollerau
47.1708877,8.6870042,Switzerland,Bezirk Horgen,Wädenswil,N/A,8820,Zurich,ZH,Hütten
47.4527649,8.4131402,Switzerland,Bezirk Dielsdorf,Otelfingen,N/A,8112,Zurich,ZH,Otelfingen
47.3627147,8.6266226,Switzerland,Bezirk Uster,Fällanden,N/A,8118,Zurich,ZH,Pfaffhausen
47.5160950,8.1222938,Switzerland,Bezirk Brugg,Mönthal,N/A,5237,Aargau,AG,Mönthal
47.5070836,8.1300964,Switzerland,Bezirk Brugg,Mönthal,N/A,5237,Aargau,AG,Mönthal
47.1583017,8.8547731,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1582931,8.8600052,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1562785,8.8580013,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
